                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6134,                 4.8222,                 4.0096,                0.42875,                0.09008,                0.05179,                0.01835,                 3.0245,                 4.6532,                 3.3387,             0.00022125,             0.00022125,             0.00022125
                      2,                 2.6669,                 3.3193,                 2.8697,                0.44076,                0.38054,                0.35798,                0.17424,                  2.197,                 3.3697,                 2.3711,             0.00042895,             0.00042895,             0.00042895
                      3,                 2.1523,                 2.4866,                 2.3059,                0.61429,                0.50357,                0.51861,                0.27576,                 1.8372,                 2.6711,                 2.0697,             0.00062197,             0.00062197,             0.00062197
                      4,                 1.8896,                 2.0089,                 2.0164,                0.69934,                0.54042,                0.61475,                 0.3396,                 1.7333,                 2.2982,                 1.8932,             0.00060097,             0.00060097,             0.00060097
                      5,                 1.7398,                 1.7397,                 1.8512,                 0.8004,                0.64311,                0.72522,                0.42603,                 1.5378,                 1.8993,                 1.6921,             0.00057896,             0.00057896,             0.00057896
                      6,                 1.6197,                 1.5297,                 1.7202,                 0.8044,                0.67235,                 0.7491,                0.43596,                 1.4797,                 1.5979,                 1.6226,             0.00055694,             0.00055694,             0.00055694
                      7,                 1.5613,                 1.4124,                 1.6632,                0.82353,                0.71255,                0.81063,                0.48572,                 1.3914,                 1.3819,                 1.5659,             0.00053493,             0.00053493,             0.00053493
                      8,                 1.5079,                 1.3098,                 1.6101,                0.85702,                0.72531,                0.81822,                0.52317,                 1.3289,                 1.3178,                 1.4996,             0.00051292,             0.00051292,             0.00051292
                      9,                  1.463,                 1.2497,                 1.5634,                0.85751,                0.75973,                0.84548,                0.52666,                 1.3336,                 1.4308,                  1.472,             0.00049091,             0.00049091,             0.00049091
                     10,                 1.4443,                    1.2,                 1.5399,                0.86811,                0.79086,                0.86447,                0.55992,                 1.2857,                 1.2712,                 1.4445,              0.0004689,              0.0004689,              0.0004689
                     11,                  1.412,                 1.1616,                 1.5102,                0.89443,                0.80956,                0.88377,                0.59833,                 1.2274,                 1.0952,                 1.3993,             0.00044689,             0.00044689,             0.00044689
                     12,                 1.3782,                 1.1028,                  1.481,                0.90634,                0.81313,                0.89724,                0.59657,                 1.2294,                 1.1254,                 1.3913,             0.00042488,             0.00042488,             0.00042488
                     13,                 1.3497,                 1.0525,                 1.4494,                0.92562,                 0.8069,                0.90169,                0.60355,                 1.2144,                 1.0602,                 1.3691,             0.00040287,             0.00040287,             0.00040287
                     14,                 1.3435,                 1.0242,                 1.4441,                0.91468,                0.82738,                0.90606,                0.62099,                 1.1733,                 1.0635,                 1.3462,             0.00038086,             0.00038086,             0.00038086
                     15,                 1.3054,                0.98895,                 1.4209,                0.91476,                0.84013,                0.91191,                0.63426,                 1.1472,                0.99119,                  1.321,             0.00035885,             0.00035885,             0.00035885
                     16,                 1.2827,                0.96128,                 1.4016,                0.92471,                0.84966,                0.92508,                0.62414,                 1.1769,                0.90198,                 1.3354,             0.00033683,             0.00033683,             0.00033683
                     17,                 1.2611,                 0.9323,                 1.3803,                0.91874,                0.85449,                0.92338,                0.63046,                 1.1529,                0.93914,                 1.3151,             0.00031482,             0.00031482,             0.00031482
                     18,                 1.2463,                0.91892,                 1.3622,                0.93657,                0.86906,                0.93846,                0.67063,                 1.0807,                0.81432,                 1.2731,             0.00029281,             0.00029281,             0.00029281
